Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
医+E,视觉设计师,10k-20k,15,,,
谜笛（上海）信息科技有限公司,游戏ui设计师,10k-20k,15,,,
火猫直播,UI设计主管,18k-36k,27,,,
陌陌,游戏 UI设计师,18k-23k,20.5,,,
TutorABC英语,UI设计师,15k-20k,17.5,,,
久赢科技,初级UI设计,5k-8k,6.5,,,
群丽信息科技,游戏ui设计师,8k-12k,10,,,
天津祥游科技有限公司,游戏UI界面设计师,6k-8k,7,,,
时刻送,UI设计师,5k-10k,7.5,,,
人脉通,UI设计师,6k-12k,9,,,
