Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
Summit HR,产品经理,17k-20k,18.5,,,
游族网络,产品经理,15k-20k,17.5,,,
有鱼金融科技,产品经理,14k-28k,21,,,
惠租车,产品经理,15k-22k,18.5,,,
京东集团,产品经理,18k-30k,24,,,
旗发科技,产品经理,15k-25k,20,,,
上海造艺网络科技有限公司,产品经理,15k-25k,20,,,
德邦,产品经理-数据中台,18k-24k,21,,,
韩创科技,产品经理,15k-25k,20,,,
爱贝国际少儿英语,产品经理,12k-18k,15,,,
冠通新创科技（上海）有限公司,产品经理,10k-20k,15,,,
光启元 RAYKITE,产品经理,8k-16k,12,,,
商派软件,高级产品经理,20k-30k,25,,,
方付通,高级产品经理,15k-25k,20,,,
海万科技,产品经理,9k-16k,12.5,,,
译会科技,产品经理,25k-40k,32.5,,,
