Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
安心记加班,资深java开发工程师,20k-35k,27.5,,,
途虎养车网,软件开发工程师（.Net、Java、PHP、前端、,10k-12k,11,,,
梵慈沫,Java高级工程师,15k-25k,20,,,
www.91wuxue.cn,java高级开发,12k-20k,16,,,
奇虎360金融,高级Java开发工程师,20k-40k,30,,,
易乎社区,Java工程师（偏架构方向）,25k-35k,30,,,
播呗,Java高级工程师,25k-30k,27.5,,,
上海中软华腾软件系统有限公司,java开发工程师,13k-18k,15.5,,,
花动传媒,JAVA中级工程师,15k-25k,20,,,
商涌网络,JAVA工程师,15k-30k,22.5,,,
人人视频,Java开发部门主管,25k-40k,32.5,,,
矩阵同创,java高级开发工程师,15k-30k,22.5,,,
矩阵同创,JAVA研发经理,20k-30k,25,,,
遨游酒店信息技术(深圳)有限责任公司,java开发工程师,12k-24k,18,,,
海万科技,java工程师,10k-20k,15,,,
奇虎360金融,高级JAVA工程师,15k-30k,22.5,,,
上海创蓝文化传播有限公司,高级Java开发工程师,30k-45k,37.5,,,
云脑科技,Java研发工程师（中级）,15k-25k,20,,,
爱可生,高级Java开发工程师,13k-26k,19.5,,,
安心记加班,JAVA开发工程师,15k-25k,20,,,
京东集团,java 开发工程师,16k-32k,24,,,
速石科技,Java后端开发工程师,25k-40k,32.5,,,
红星美凯龙互联网集团,java技术经理,20k-35k,27.5,,,
百得思维,Java开发（上海嘉定区）,13k-23k,18,,,
衡方信息,Java工程师,15k-25k,20,,,
MoSeeker仟寻,Java实习生,1k-2k,1.5,,,
科达,Java开发工程师,10k-15k,12.5,,,
超维,Java开发工程师,13k-20k,16.5,,,
挖财,Java研发专家（MJ000640）,30k-50k,40,,,
海万科技,java工程师,9k-18k,13.5,,,
挖财,Java研发专家（MJ000640）,30k-50k,40,,,
花动传媒,JAVA 资深开发工程师,18k-35k,26.5,,,
哔哩哔哩,Java开发工程师(电商方向),15k-30k,22.5,,,
交银企服,JAVA开发（金融科技）,10k-20k,15,,,
有色网,Java开发工程师,15k-20k,17.5,,,
富友,高级java开发工程师,20k-30k,25,,,
上海中软华腾软件系统有限公司,高级Java开发工程师,15k-20k,17.5,,,
爱客CRM,Java高级工程师,15k-25k,20,,,
联想集团,JAVA开发工程师,25k-35k,30,,,
通力互联,Java开发,10k-20k,15,,,
威斯科技,java技术专家,30k-50k,40,,,
沪江,高级Java开发工程师 (MJ000796),25k-35k,30,,,
微盟,高级/资深Java开发工程师（J10408）,18k-30k,24,,,
VIP陪练,JAVA开发工程师（微课）,15k-30k,22.5,,,
海万科技,java,8k-15k,11.5,,,
微盟,Java软件开发工程师-CRM,18k-30k,24,,,
富友,高级java开发工程师,15k-25k,20,,,
金证股份,java工程师,12k-18k,15,,,
TutorABC英语,Java 工程师,15k-30k,22.5,,,
CloudChef,资深Java开发工程师,18k-36k,27,,,
上海中软华腾软件系统有限公司,java开发工程师,13k-25k,19,,,
石竹软件,Java开发工程师,8k-12k,10,,,
泛微,Java开发工程师,15k-20k,17.5,,,
运满满,资深JAVA工程师(J10443),30k-50k,40,,,
云脑科技,Java研发工程师（高级）,25k-35k,30,,,
天壤智能,Java开发工程师,25k-50k,37.5,,,
爱可生,高级java开发工程师,12k-24k,18,,,
掌门1对1在线教育,Java开发工程师,20k-30k,25,,,
上海恒格信息,java技术经理,15k-25k,20,,,
海万科技,java工程师,7k-13k,10,,,
上海中软华腾软件系统有限公司,Java开发工程师,15k-29k,22,,,
TutorABC英语,资深JAVA工程师,25k-40k,32.5,,,
买单侠,高级JAVA开发工程师-业务系统,15k-30k,22.5,,,
陆金所,Java开发（AI实验室）J10771,13k-26k,19.5,,,
遨游酒店信息技术(深圳)有限责任公司,java开发工程师,10k-20k,15,,,
中文在线,JAVA开发工程师(000871),15k-20k,17.5,,,
贝壳,资深JAVA开发工程师,25k-45k,35,,,
艾融股份,Java,10k-15k,12.5,,,
百融金服,JAVA工程师实习生,8k-15k,11.5,,,
信用生活,JAVA高级开发工程师,25k-40k,32.5,,,
艾天科技,高级Java开发工程师,15k-30k,22.5,,,
安心记加班,JAVA开发工程师,14k-20k,17,,,
方付通,高级java工程师,20k-25k,22.5,,,
紫川软件,Java中高级工程师,8k-15k,11.5,,,
海万科技,java工程师,10k-11k,10.5,,,
上海中软华腾软件系统有限公司,高级Java工程师,18k-30k,24,,,
中文在线,JAVA开发工程师(000884),15k-20k,17.5,,,
贝壳,资深Java研发工程师,20k-40k,30,,,
溢唐数据,JAVA工程师,18k-35k,26.5,,,
银生宝,Java开发工程师（基础服务组）,8k-12k,10,,,
商汤科技,Java开发工程师,15k-30k,22.5,,,
信息发展,Java开发工程师,11k-17k,14,,,
腾来雾往,Java开发工程师,12k-18k,15,,,
泛微,Java工程师,15k-20k,17.5,,,
快牛金科,后端开发(Java),15k-30k,22.5,,,
爱客CRM,java,10k-20k,15,,,
爱乐奇,JAVA后端研发工程师,13k-25k,19,,,
喔噻科技,Java开发工程师（平台开发）,15k-30k,22.5,,,
绿地商业集团,Java开发资深工程师（带团队）,25k-50k,37.5,,,
海万科技,java工程师,16k-20k,18,,,
上海中软华腾软件系统有限公司,Java开发,10k-18k,14,,,
中文在线,JAVA开发工程师(001061),15k-20k,17.5,,,
别样app,JAVA后端研发工程师,16k-32k,24,,,
CLPS,Java Developer,15k-25k,20,,,
盛付通,高级Java软件开发工程师(基础设施),10k-20k,15,,,
有鱼金融科技,java开发工程师,20k-40k,30,,,
齐数科技（上海）有限公司,Java工程师,15k-22k,18.5,,,
攸茂村,Java工程师,12k-20k,16,,,
贝壳,资深/高级java工程师,30k-50k,40,,,
联想集团,java开发工程师,25k-35k,30,,,
Focussend,Java开发工程师,12k-20k,16,,,
橙鹰,java开发工程师,15k-30k,22.5,,,
泰为,Java开发工程师-数据处理,18k-26k,22,,,
拼多多,Java开发工程师,20k-40k,30,,,
海万科技,java工程师,8k-15k,11.5,,,
上海中软华腾软件系统有限公司,Java开发工程师,10k-18k,14,,,
中文在线,JAVA开发工程师(000865),15k-20k,17.5,,,
有鱼金融科技,java,20k-40k,30,,,
橙鹰,java开发工程师,15k-30k,22.5,,,
泰为,Java开发工程师-数据处理,18k-26k,22,,,
拼多多,Java开发工程师,20k-40k,30,,,
UCloud,Java开发工程师,25k-35k,30,,,
DAOCLOUD,高级Java开发工程师（微服务）,25k-40k,32.5,,,
深圳奥哲网络科技有限公司,java技术经理,18k-25k,21.5,,,
字节跳动,Java开发实习生-短视频方向,4k-8k,6,,,
精锐教育,java高级开发工程师,15k-25k,20,,,
驴妈妈旅游网,Java开发工程师,15k-30k,22.5,,,
绿地商业集团,JAVA开发经理,25k-40k,32.5,,,
阅文集团,Java开发工程师,15k-25k,20,,,
海万科技,JAVA开发工程师,10k-16k,13,,,
上海中软华腾软件系统有限公司,Java开发工程师,13k-17k,15,,,
泛微,Java开发工程师,15k-25k,20,,,
乐元素游戏,资深java服务器工程师,20k-30k,25,,,
图聚智能,Java工程师,15k-30k,22.5,,,
商汤科技,JAVA开发工程师,15k-30k,22.5,,,
上海寰溪科技,java后端开发工程师,15k-30k,22.5,,,
微鲸科技,java开发工程师（底层架构方向）(1778),18k-30k,24,,,
麦子金服,java工程师（支付方向）,15k-25k,20,,,
达达-京东到家,Java工程师（效率工程）,20k-30k,25,,,
通力互联,Java 开发工程师,10k-20k,15,,,
京东数科,资深Java开发工程师,25k-35k,30,,,
威斯科技,java专家,25k-50k,37.5,,,
云脑科技,Java研发工程师（初级）,10k-15k,12.5,,,
盛付通,高级JAVA开发工程师（支付）,10k-20k,15,,,
